"iso_code","continent","location","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","diabetes_prevalence","female_smokers","male_smokers","life_expectancy"
"VIR","North America","United States Virgin Islands",100091,306.48,42.2,18.601,10.799,NULL,NULL,12.26,NULL,NULL,80.58
"BLZ","North America","Belize",400031,16.426,25,3.853,2.279,7824.362,NULL,17.11,NULL,NULL,74.62
"BES","North America","Bonaire Sint Eustatius and Saba",26706,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.79
"SLV","North America","El Salvador",6314167,307.811,27.6,8.273,5.417,7292.458,2.2,8.87,2.5,18.8,73.32
"THA","Asia","Thailand",71601103,135.132,40.1,11.373,6.89,16277.671,0.1,7.04,1.9,38.8,77.15
"SHN","Africa","Saint Helena",5404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.56
"AFG","Asia","Afghanistan",40099462,54.422,18.6,2.581,1.337,1803.987,NULL,9.59,NULL,NULL,64.83
"VAT","Europe","Vatican",511,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.12
"TON","Oceania","Tonga",106017,150.028,22.3,5.82,4.032,5425.621,NULL,15.42,11.8,44.4,70.91
"PER","South America","Peru",33715472,25.129,29.1,7.151,4.455,12236.706,3.5,5.95,4.8,NULL,76.74
"JPN","Asia","Japan",124612530,347.778,48.2,27.049,18.493,39002.223,NULL,5.72,11.2,33.7,84.63
"MUS","Africa","Mauritius",1298915,622.962,37.4,10.945,5.884,20292.745,0.5,22.02,3.2,40.7,74.99
"IDN","Asia","Indonesia",273753191,145.725,29.3,5.319,3.053,11188.744,5.7,6.32,2.8,76.1,71.72
"DNK","Europe","Denmark",5854240,136.52,42.3,19.677,12.325,46682.515,0.2,6.41,19.3,18.8,80.9
"ZAF","Africa","South Africa",59392255,46.754,27.3,5.344,3.053,12294.876,18.9,5.52,8.1,33.2,64.13
"TJK","Asia","Tajikistan",9750064,64.281,23.3,3.466,2.155,2896.913,4.8,7.11,NULL,NULL,71.1
"TZA","Africa","Tanzania",63588334,64.699,17.7,3.108,1.874,2683.304,49.1,5.75,3.3,26.7,65.46
"LSO","Africa","Lesotho",2281454,73.562,22.2,4.506,2.647,2851.153,59.6,3.94,0.4,53.9,54.33
"LAO","Asia","Laos",7425058,29.715,24.4,4.029,2.322,6397.36,22.7,4,7.3,51.2,67.92
"LKA","Asia","Sri Lanka",21773441,341.955,34.1,10.069,5.331,11669.077,0.7,10.68,0.3,27,76.98
"TGO","Africa","Togo",8644829,143.366,19.4,2.839,1.525,1429.813,49.2,6.15,0.9,14.2,61.04
"TWN","Asia","Taiwan",23859912,NULL,42.2,NULL,8.353,NULL,NULL,NULL,NULL,NULL,80.46
"MEX","North America","Mexico",126705138,66.444,29.3,6.857,4.321,17336.469,2.5,13.06,6.9,21.4,75.05
"SSD","Africa","South Sudan",10748272,NULL,19.2,3.441,2.032,1569.888,NULL,10.43,NULL,NULL,57.85
"SVK","Europe","Slovakia",5447622,113.128,41.2,15.07,9.167,30155.152,0.7,7.29,23.1,37.7,77.54
"FRO","Europe","Faeroe Islands",52888,35.308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80.67
"ABW","North America","Aruba",106536,584.8,41.2,13.085,7.452,35973.781,NULL,11.62,NULL,NULL,76.29
"ARM","Asia","Armenia",2790974,102.931,35.7,11.232,7.571,8787.58,1.8,7.11,1.5,52.1,75.09
"TKL","Oceania","Tokelau",1849,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,81.86
"COM","Africa","Comoros",821626,437.352,20.4,2.963,1.726,1413.89,18.1,11.88,4.4,23.6,64.32
"PLW","Oceania","Palau",18024,47.237,NULL,NULL,NULL,13240.405,NULL,15.89,7.7,22.7,73.7
"AZE","Asia","Azerbaijan",10312992,119.309,32.4,6.018,3.871,15847.419,NULL,7.11,0.3,42.5,73
"ARG","South America","Argentina",45276780,16.177,31.9,11.198,7.441,18933.907,0.6,5.5,16.2,27.7,76.67
"SMR","Europe","San Marino",33746,556.667,NULL,NULL,NULL,56861.47,NULL,5.64,NULL,NULL,84.97
"MYS","Asia","Malaysia",33573874,96.254,29.9,6.293,3.407,26808.164,0.1,16.74,1,42.4,76.16
"ALB","Europe","Albania",2854710,104.871,38,13.188,8.643,11803.431,1.1,10.08,7.1,51.2,78.57
"PAK","Asia","Pakistan",231402116,255.573,23.5,4.495,2.78,5034.708,4,8.35,2.8,36.7,67.27
"FRA","Europe","France",67422000,122.578,42,19.718,13.079,38605.671,NULL,4.77,30.1,35.6,82.66
"SWZ","Africa","Eswatini",1192271,79.492,21.5,3.163,1.845,7738.975,NULL,3.94,1.7,16.5,60.19
"CUW","North America","Curacao",190338,362.644,41.7,16.367,10.068,NULL,NULL,11.62,NULL,NULL,78.88
"DJI","Africa","Djibouti",1105557,41.285,25.4,4.213,2.38,2705.406,22.5,6.05,1.7,24.5,67.11
"BTN","Asia","Bhutan",777486,21.188,28.6,4.885,2.977,8708.597,1.5,9.75,NULL,NULL,71.78
"MMR","Asia","Myanmar",53798084,81.721,29.1,5.732,3.12,5591.597,6.4,4.61,6.3,35.2,67.13
"COD","Africa","Democratic Republic of Congo",95894118,35.879,17,3.02,1.745,808.133,77.1,6.1,NULL,NULL,60.68
"CHE","Europe","Switzerland",8691406,214.243,43.1,18.436,12.644,57410.166,NULL,5.59,22.6,28.9,83.78
"MLI","Africa","Mali",21904983,15.196,16.4,2.519,1.486,2014.306,NULL,2.42,1.6,23,59.31
"BRA","South America","Brazil",214326223,25.04,33.5,8.552,5.06,14103.452,3.4,8.11,10.1,17.9,75.88
"DEU","Europe","Germany",83408554,237.016,46.6,21.453,15.957,45229.245,NULL,8.31,28.2,33.1,81.33
"MNE","Europe","Montenegro",627859,46.28,39.1,14.762,9.395,16409.288,1,10.08,44,47.9,76.88
"GTM","North America","Guatemala",17608483,157.834,22.9,4.694,3.016,7423.808,8.7,10.18,NULL,NULL,74.3
"NIC","North America","Nicaragua",6850540,51.667,27.3,5.445,3.519,5321.444,3.2,11.47,NULL,NULL,74.48
"JAM","North America","Jamaica",2827694,266.879,31.4,9.684,6.39,8193.571,NULL,11.28,5.3,28.6,74.47
"ISL","Europe","Iceland",370335,3.404,37.3,14.431,9.207,46482.958,0.2,5.31,14.3,15.2,82.99
"RUS","Europe","Russia",145102755,8.823,39.6,14.178,9.393,24765.954,0.1,6.18,23.4,58.3,72.58
"COL","South America","Colombia",51516562,44.223,32.2,7.646,4.312,13254.949,4.5,7.44,4.7,13.5,77.29
"CIV","Africa","Cote d'Ivoire",27478249,76.399,18.7,2.933,1.582,3601.006,28.2,2.42,NULL,NULL,57.78
"TUN","Africa","Tunisia",12262946,74.228,32.7,8.001,5.075,10849.297,2,8.52,1.1,65.8,76.7
"FIN","Europe","Finland",5535992,18.136,42.8,21.228,13.264,40585.721,NULL,5.76,18.3,22.6,81.91
"MHL","Oceania","Marshall Islands",42050,295.15,NULL,NULL,NULL,3819.202,NULL,30.53,NULL,NULL,73.7
"GRL","North America","Greenland",56243,0.137,NULL,NULL,NULL,NULL,NULL,2.16,NULL,NULL,71.7
"KHM","Asia","Cambodia",16589023,90.672,25.6,4.412,2.385,3645.07,NULL,4,2,33.7,69.82
